run_name,config_id,seed,imin,imax,k,tx_range,nb_nodes,send_interval,objective_function,status,rows_added,error
run_0215_cfg_022_seed_5_of0,22,5,8,16,0,50.0,16,20,OF0,SUCCESS,855,
run_0216_cfg_022_seed_6_of0,22,6,8,16,0,50.0,16,20,OF0,SUCCESS,855,
run_0217_cfg_022_seed_7_of0,22,7,8,16,0,50.0,16,20,OF0,SUCCESS,855,
run_0218_cfg_022_seed_8_of0,22,8,8,16,0,50.0,16,20,OF0,SUCCESS,855,
run_0219_cfg_022_seed_9_of0,22,9,8,16,0,50.0,16,20,OF0,SUCCESS,855,
run_0220_cfg_022_seed_10_of0,22,10,8,16,0,50.0,16,20,OF0,SUCCESS,855,
run_0221_cfg_023_seed_1_mrhof,23,1,8,16,0,50.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0222_cfg_023_seed_2_mrhof,23,2,8,16,0,50.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0223_cfg_023_seed_3_mrhof,23,3,8,16,0,50.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0224_cfg_023_seed_4_mrhof,23,4,8,16,0,50.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0225_cfg_023_seed_5_mrhof,23,5,8,16,0,50.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0226_cfg_023_seed_6_mrhof,23,6,8,16,0,50.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0227_cfg_023_seed_7_mrhof,23,7,8,16,0,50.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0228_cfg_023_seed_8_mrhof,23,8,8,16,0,50.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0229_cfg_023_seed_9_mrhof,23,9,8,16,0,50.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0230_cfg_023_seed_10_mrhof,23,10,8,16,0,50.0,20,5,MRHOF,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0231_cfg_024_seed_1_of0,24,1,8,16,0,50.0,20,5,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
run_0232_cfg_024_seed_2_of0,24,2,8,16,0,50.0,20,5,OF0,FAILED,0,Le simulation_rpl.csc actuel contient seulement 16 nœuds.
